external_exercise_id,title,primary_muscles,secondary_muscles,equipment,movement_pattern,body_position,difficulty,sanitized_metadata
f21fa91d-22fb-4b78-bc6a-50165e5cb8ad,High plank to low plank,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core calisthenics] slug:high-plank-to-low-plank]
f2224eab-4368-4bab-80a3-e0bddbed5a23,Elbow to knee plank,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core calisthenics] slug:elbow-to-knee-plank]
f28e1faf-4677-453e-9007-8329d7a67e2d,Bodyweight Squat (air squat),[quads],[],[bodyweight],knee_dominant,NULL,NULL,map[category:Legs difficulty:<nil> equipment:[bodyweight] exerciseTypes:[strength functional calisthenics] slug:bodyweight-squat-air-squat]
f2fef2bc-353c-4f3b-b7c3-ee5d63e2a87b,Bear plank shoulder taps - 30,[core],[],[bodyweight],core,NULL,NULL,map[category:Core difficulty:<nil> equipment:[bodyweight] exerciseTypes:[core calisthenics isometric] slug:bear-plank-shoulder-taps-30]
f324d8f5-3c64-4a97-b4de-2fd60907e7d5,Side bend (left),[core],[],[bodyweight],NULL,NULL,intermediate,map[category:Core difficulty:intermediate equipment:[bodyweight] exerciseTypes:[stretching mobility] slug:side-bend-left]
f34b7615-bfcc-4cd4-88f7-d7c68e910fe9,Dumbbell Bicep Curl Standing,[biceps],[brachialis brachioradialis forearm_flexors],[dumbbell],elbow_flexion,NULL,beginner,map[category:Arms - Biceps difficulty:beginner equipment:[dumbbell] exerciseTypes:[strength] slug:dumbbell-bicep-curl-standing]
f3b5098c-a02d-44ce-941e-2afca2f7329f,Single leg get up into lunge,[quads],[],[bodyweight],knee_dominant,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength functional balance] slug:single-leg-get-up-into-lunge]
f3d25890-dcd5-42b3-8246-a5f596029cc0,Figure Four Stretch (L),[full_body],[],[bodyweight],NULL,NULL,beginner,map[category:Full Body difficulty:beginner equipment:[bodyweight] exerciseTypes:[stretching mobility] slug:figure-four-stretch-l]
f4484f32-c4a6-4111-8681-7d3d05a43f81,Squat thruster,[quads],[],[bodyweight],knee_dominant,NULL,intermediate,map[category:Legs difficulty:intermediate equipment:[bodyweight] exerciseTypes:[strength cardio] slug:squat-thruster]
f49f3159-4eed-4d0d-a640-497886c309b0,Dumbbell double snatch,[full_body],[],[dumbbell],NULL,NULL,advanced,map[category:Full Body difficulty:advanced equipment:[dumbbell] exerciseTypes:[strength functional] slug:dumbbell-double-snatch]
f4f814a7-7f9f-4d09-8c9a-f07c27176967,Sciatic nerve flossing nerve glide with a chair,[hamstrings],[gastrocnemius soleus glutes],[],NULL,NULL,beginner,map[category:physio difficulty:beginner equipment:[chair] exerciseTypes:[rehabilitation mobility stretching] slug:sciatic-nerve-flossing-nerve-glide-with-a-chair-2e5601]
