external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details,research_action
c60450d9-862c-4dd3-87b1-82f80349964d,Dumbbell fly - v2,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
4581a423-5d2d-4cf1-89a0-fea026ef116d,Dumbbell Fly incline,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
d8a67e85-0c9f-483d-b7fe-be049247ab1c,Dumbbell forward lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
3e668a4f-2aac-42ae-b8db-58fc179d20d2,Dumbbell Front Raise,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
beee4955-3dbc-4aa1-be35-d01666713f72,Dumbbell get ups (R),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
dadea1de-c228-4e36-99de-db68578de515,Dumbbell glute bridge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
ff6872ae-e894-4e72-b5f8-59a55b576a6f,Dumbbell Goblet Squat,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
44a83578-5681-4a1a-99c3-f8742857bf66,Dumbbell Lateral Raise,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
57c55853-176e-4bad-aced-1032c63f4652,Dumbbell Lunges,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
f181cc8e-9816-4205-b025-3b23cb30720b,Dumbbell Lying Rear Lateral Raise,,TECHNICAL_REVIEW,68,missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
fa0fd12d-1fd4-448f-9e21-ceda7b8f18eb,Dumbbell Lying Rear Lateral Raise - One arm,,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
af545111-e56a-4731-ba48-2d4ce750bc8e,Dumbbell One-Arm Shoulder Press (L),,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
e8aacdde-8fce-438b-878b-3af1a611f2be,Dumbbell One-Arm Shoulder Press (R),,TECHNICAL_REVIEW,36,missing_main_movement|lost_technical_details,one arm,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
35b16467-8817-4c28-b84c-a1f47b1734cd,Dumbbell pistol squats,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
c90444fe-fd21-40d1-923f-5adba83e35bc,Dumbbell Pullover,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
f6d6ac54-751d-416e-8c9d-bc4b675cd505,Dumbbell Pullover,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
ad241fc8-3d05-4ce7-a950-45380497cdc0,Dumbbell Pulse Squat,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
9690f31a-ed99-446e-88db-2934b832f497,Dumbbell Rear Lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
54d04b7e-3a7d-4d04-a0b2-adaab8f8f466,Dumbbell Romanian Deadlift,,TECHNICAL_REVIEW,60,lost_technical_details,romanian,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
e91bd54f-f605-491d-90e6-16515787389c,Dumbbell Row two arm bent over,,TECHNICAL_REVIEW,60,lost_technical_details,bent over,RESEARCH_REQUIRED: nessuna nuova ricerca web automatica eseguita; verificare fonti italiane prima di VALIDATED.
