external_exercise_id,ymove_title,final_italian_name,validation_status,quality_score,rejection_reasons,missing_technical_details
d6c2798d-a077-41b9-9769-d5bd1a57caaa,Dumbbell Shoulder Press,,TECHNICAL_REVIEW,68,missing_main_movement,
0af648a1-1d2e-438b-b687-b522c9eaa8bd,Dumbbell shoulder punches,,TECHNICAL_REVIEW,68,missing_main_movement,
b150868d-c9c5-4f0f-a407-93d7e34b6ddc,Dumbbell Shrug,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
71304f37-af11-4c9f-aa53-ef04cbc9bb29,Dumbbell Side Bend,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
f66596ba-3a70-406c-8ffa-ed6641a10e19,Dumbbell Side Bend (L),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
8dcb1591-348a-4809-9abf-0a1679a7a52a,Dumbbell Side Bend (R),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
af494781-9fba-41df-b403-79d04db6deae,Dumbbell Side lunge,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
bfce2271-bf6b-4a45-9038-5c9fa1935990,Dumbbell Side lunge (L),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
14a3a8fe-dc12-4c4b-865b-d5e0514c54d4,Dumbbell Skull Crushers,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
0de79ddc-e829-4543-942c-e385cc76ac5e,Dumbbell Squat,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
1b4146bc-1c96-4f05-88cf-72a72783122d,Dumbbell Step Ups,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
ccd60696-7e2f-4611-b3b9-e5f11ddf4e78,Dumbbell Sumo Squat,,TECHNICAL_REVIEW,68,missing_main_movement,
c3d00969-0a33-4a3f-b603-938c1014ca9f,Dumbbell Thruster,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
f1c43226-fa20-4c2e-af66-0cd680f937df,Dumbbell Tricep Kickback,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
01924d84-4c88-4476-b0dc-8fd92616b362,Dumbbell upper cuts,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
3b45e42a-963f-4b79-ae1d-b1b5e8eb9add,Flat Cable Fly,,TECHNICAL_REVIEW,60,lost_technical_details,flat
e75d29c0-7af3-4e83-a351-6fff23443379,Front Barbell Squat,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
dc848ac2-ca46-4c70-a8cc-dd2a76e546cf,Front Two-Dumbbell Raise,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
54df7bb8-18f9-4b69-8561-f369f06632ee,Goblet Squat with Kettlebell,,TECHNICAL_REVIEW,68,missing_main_movement,
88116de4-0c5d-4985-8905-156fd03d7eb9,Good Mornings with barbell,,TECHNICAL_REVIEW,68,missing_main_movement,
a07157e6-32c0-4380-ad71-55afc02369ec,Halo with dumbbell (L),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
05c60c96-4b0d-4e83-8797-9e3eb9a9cab0,Halo with dumbbell (R),,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
0d3505ae-ce8d-4ad5-b8d0-8c172dd08969,High Row Machine,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
6426c762-dd1d-4e44-b9c0-89875c81553a,Hip Abduction Machine,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
af606d87-c83f-46cd-b72f-e554708eb94e,Hip Adduction Machine,,TECHNICAL_REVIEW,20,repeated_or_equipment_only|consecutive_duplicate_words|missing_main_movement,
ac256206-2279-44dc-ab5e-94d6e7d9e8a6,Incline Barbell Front Raise,,TECHNICAL_REVIEW,68,missing_main_movement,
25be107f-a9ec-4007-bb9f-c0a5088e19b5,Incline Barbell Press,,TECHNICAL_REVIEW,44,consecutive_duplicate_words|missing_main_movement,
4a608293-5863-4517-b03d-a46398066e32,Incline Cable Fly,,TECHNICAL_REVIEW,60,lost_technical_details,incline
6a3ac67c-fa0f-4ef1-91c7-aa2503d11844,Incline Dumbbell Crossover,,TECHNICAL_REVIEW,44,repeated_or_equipment_only|missing_main_movement,
